nome,uriVella,NovoElemento,uriNiovo
cold zones,http://aims.fao.org/aos/agrovoc/c_1745,cold,http://aims.fao.org/aos/agrovoc/c_1743
permafrost areas,http://aims.fao.org/aos/agrovoc/c_5715,permafrost,http://aims.fao.org/aos/agrovoc/c_edb18e26
permafrost areas,http://aims.fao.org/aos/agrovoc/c_5715,area,http://aims.fao.org/aos/agrovoc/c_330588
game reserves,http://aims.fao.org/aos/agrovoc/c_3184,game,http://aims.fao.org/aos/agrovoc/c_3179
freshwater parks,http://aims.fao.org/aos/agrovoc/c_7473d26b,freshwater,http://aims.fao.org/aos/agrovoc/c_3102
Asia and the Pacific,http://aims.fao.org/aos/agrovoc/c_37860,Asia,http://aims.fao.org/aos/agrovoc/c_666
Papua New Guinea,http://aims.fao.org/aos/agrovoc/c_5555,Guinea,http://aims.fao.org/aos/agrovoc/c_3423
American Samoa,http://aims.fao.org/aos/agrovoc/c_336,Samoa,http://aims.fao.org/aos/agrovoc/c_6772
Australia and New Zealand,http://aims.fao.org/aos/agrovoc/c_54974fee,Australia,http://aims.fao.org/aos/agrovoc/c_714
New South Wales,http://aims.fao.org/aos/agrovoc/c_5162,Wales,http://aims.fao.org/aos/agrovoc/c_8294
Cocos (Keeling) Islands,http://aims.fao.org/aos/agrovoc/c_1715,Cocos,http://aims.fao.org/aos/agrovoc/c_32962
East Timor,http://aims.fao.org/aos/agrovoc/c_4436,Timor,http://aims.fao.org/aos/agrovoc/c_7780
Inner Mongolia,http://aims.fao.org/aos/agrovoc/c_5103,Mongolia,http://aims.fao.org/aos/agrovoc/c_4908
Democratic Yemen,http://aims.fao.org/aos/agrovoc/c_2175,Yemen,http://aims.fao.org/aos/agrovoc/c_8483
North Yemen,http://aims.fao.org/aos/agrovoc/c_29192,Yemen,http://aims.fao.org/aos/agrovoc/c_8483
Black Sea Region,http://aims.fao.org/aos/agrovoc/c_1357291330196,Seas,http://aims.fao.org/aos/agrovoc/c_14148
coastal areas,http://aims.fao.org/aos/agrovoc/c_9000021,area,http://aims.fao.org/aos/agrovoc/c_330588
recreational waters,http://aims.fao.org/aos/agrovoc/c_b5f4aba6,water,http://aims.fao.org/aos/agrovoc/c_8309
exclusive economic zones,http://aims.fao.org/aos/agrovoc/c_2748,economics,http://aims.fao.org/aos/agrovoc/c_2481
international waters,http://aims.fao.org/aos/agrovoc/c_25322,water,http://aims.fao.org/aos/agrovoc/c_8309
territorial waters,http://aims.fao.org/aos/agrovoc/c_7677,water,http://aims.fao.org/aos/agrovoc/c_8309
gas condensate fields,http://aims.fao.org/aos/agrovoc/c_7c0253c7,gases,http://aims.fao.org/aos/agrovoc/c_3197
gas fields,http://aims.fao.org/aos/agrovoc/c_54de1af8,gases,http://aims.fao.org/aos/agrovoc/c_3197
wintering pits,http://aims.fao.org/aos/agrovoc/c_bd720c18,pits,http://aims.fao.org/aos/agrovoc/c_5938
